ShrubNumber,PreBasketStems,PostBasketStems,Treatment
84,11,1,Control
89,20,1,Control
99,13,0,Control
103,2,0,Control
108,13,0,Control
111,10,0,Control
114,6,3,Control
119,11,3,Control
137,18,0,Control
148,0,7,Control
156,1,1,Control
164,0,0,Control
168,1,0,Control
175,1,0,Control
181,16,4,Control
141,0,11,Broadcast
142,0,0,Broadcast
143,1,0,Broadcast
144,0,12,Broadcast
145,0,16,Broadcast
146,0,18,Broadcast
157,0,12,Broadcast
158,0,11,Broadcast
159,0,6,Broadcast
160,0,8,Broadcast
182,25,0,Broadcast
183,14,18,Broadcast
184,13,18,Broadcast
185,19,0,Broadcast
190,1,1,Broadcast
191,1,0,Broadcast
192,0,0,Broadcast
193,0,7,Broadcast
194,0,0,Broadcast
195,0,0,Control
196,0,0,Broadcast
197,0,0,Control
198,12,10,Broadcast
199,4,18,Broadcast
200,14,16,Broadcast
201,9,8,Broadcast
202,0,0,Broadcast
203,0,21,Broadcast
204,0,15,Broadcast
205,0,37,Broadcast
206,0,0,Control
207,0,5,Broadcast
208,0,19,Broadcast
209,1,0,Control
210,0,6,Broadcast
211,0,35,Broadcast
212,0,13,Broadcast
213,0,18,Broadcast
214,0,6,Broadcast
215,0,30,Broadcast
216,0,13,Broadcast
217,0,5,Broadcast
218,0,0,Broadcast
220,1,6,Broadcast
221,1,39,Broadcast
